( 2022/02/24 14:24 )
2022/02/23 -> 2022/02/23

PARAM->,period_type
VALUE->,1

DATE,LOOM,STYLE,WARP,WEFT,UNSELECT
2022/02/23,="0001",="252330",9.233,129.900,514.433
2022/02/23,="002",="252530",552.983,118.417,19.733
2022/02/23,="003",="252530",5.200,61.833,514.15
2022/02/23,="005",="1000.",7.283,76.067,516.1
2022/02/23,="007",="Undefined",9.500,41.450,580.534
2022/02/23,="009",="1000",52.650,755.500,48.117
2022/02/23,="011",="11855",17.667,84.283,622.7
2022/02/23,="015",="1000",0,585.967,35.2
